2025-08-27 00:30:36 INFO  TC006_AddLeaseTest:40 - Adding Machine Details...
2025-08-27 00:30:43 INFO  TC006_AddLeaseTest:56 - All lease details entered successfully!
2025-08-27 00:30:43 INFO  TC006_AddLeaseTest:60 - Clicked on 'Submit' button
2025-08-27 00:30:45 INFO  TC006_AddLeaseTest:65 - ***** TC006_AddLeaseTest PASSED *****
2025-08-27 00:30:45 INFO  TC006_AddLeaseTest:71 - ***** Finished TC006_AddLeaseTest *****
2025-08-27 00:30:49 INFO  TC007_AddNewOperatorTest:106 - Performing login...
2025-08-27 00:30:53 INFO  TC007_AddNewOperatorTest:114 - Login successful
2025-08-27 00:30:53 INFO  TC007_AddNewOperatorTest:15 - ***** Starting TC007_AddOperatorTest *****
2025-08-27 00:30:53 INFO  TC007_AddNewOperatorTest:21 - Navigated to Operators Page
2025-08-27 00:30:56 INFO  TC007_AddNewOperatorTest:25 - Clicked on 'Add Operator' button
2025-08-27 00:30:56 INFO  TC007_AddNewOperatorTest:33 - Verified 'Add Operator' page is displayed
2025-08-27 00:30:56 INFO  TC007_AddNewOperatorTest:36 - Filling Operator Details...
2025-08-27 00:31:01 INFO  TC007_AddNewOperatorTest:52 - All operator details entered successfully!
2025-08-27 00:31:16 INFO  TC007_AddNewOperatorTest:57 - Clicked on 'Save' button
2025-08-27 00:31:36 INFO  TC007_AddNewOperatorTest:68 - ***** Finished TC007_AddOperatorTest *****
